account_id,google_object_id,google_url,reason
nghia-main-drive,1Hhw3KLE0_-2PSzhFYXD9jstfWdMZ2QTs,https://drive.google.com/file/d/1Hhw3KLE0_-2PSzhFYXD9jstfWdMZ2QTs/view?usp=drivesdk,zero_byte_source
nghia-main-drive,1Tit3hh9DvDaG0Gd4CIkdqhAgX7Z3GL5x,https://drive.google.com/file/d/1Tit3hh9DvDaG0Gd4CIkdqhAgX7Z3GL5x/view?usp=drivesdk,TimeoutError:The read operation timed out
nghia-main-drive,1TTNTzDVG-jt_IH64M2xTok1HLQOeauxB,https://drive.google.com/file/d/1TTNTzDVG-jt_IH64M2xTok1HLQOeauxB/view?usp=drivesdk,URLError:<urlopen error The write operation timed out>
nghia-main-drive,1TgrDlv9DNPZ2gOFhaY8aum7MPHcAxg2l,https://drive.google.com/file/d/1TgrDlv9DNPZ2gOFhaY8aum7MPHcAxg2l/view?usp=drivesdk,URLError:<urlopen error The write operation timed out>
nghia-main-drive,1TYgemUsiKTLG8NhbYvVUSrQfZji1Vcei,https://drive.google.com/file/d/1TYgemUsiKTLG8NhbYvVUSrQfZji1Vcei/view?usp=drivesdk,URLError:<urlopen error The write operation timed out>
nghia-main-drive,1DXQ2XdvoEMok4Q_vo8teVM9epP9kzcvC,https://drive.google.com/file/d/1DXQ2XdvoEMok4Q_vo8teVM9epP9kzcvC/view?usp=drivesdk,zero_byte_source
nghia-main-drive,1PsvxnBQNAR332SIG8iFmOerEC5budRpk,https://docs.google.com/spreadsheets/d/1PsvxnBQNAR332SIG8iFmOerEC5budRpk/edit?usp=drivesdk&ouid=114811042808991396276&rtpof=true&sd=true,zero_byte_source
nghia-main-drive,1otH65dUasm5B3WJYrXxBpI11FVwjJrnB,https://docs.google.com/spreadsheets/d/1otH65dUasm5B3WJYrXxBpI11FVwjJrnB/edit?usp=drivesdk&ouid=114811042808991396276&rtpof=true&sd=true,HTTPError:HTTP Error 403: Forbidden
nghia-main-drive,1otH65dUasm5B3WJYrXxBpI11FVwjJrnB,https://docs.google.com/spreadsheets/d/1otH65dUasm5B3WJYrXxBpI11FVwjJrnB/edit?usp=drivesdk&ouid=114811042808991396276&rtpof=true&sd=true,"RuntimeError:Google Drive API HTTP 403 GET https://www.googleapis.com/drive/v3/files/1otH65dUasm5B3WJYrXxBpI11FVwjJrnB?alt=media&supportsAllDrives=true: {
  ""error"": {
    ""code"": 403,
    ""message"": ""This file has been identified as malware or spam and cannot be downloaded."",
    ""errors"": [
      {
        ""message"": ""This file has been identified as malware or spam and cannot be downloaded."",
        ""domain"": ""global"",
        ""reason"": ""cannotDownloadAbusiveFile""
      }
    ]
  }
}"
nghia-main-drive,1otH65dUasm5B3WJYrXxBpI11FVwjJrnB,https://docs.google.com/spreadsheets/d/1otH65dUasm5B3WJYrXxBpI11FVwjJrnB/edit?usp=drivesdk&ouid=114811042808991396276&rtpof=true&sd=true,google_abusive_file_blocked_download
